picasso,L2,max_abs,min_abs
flipped_image_023,0.0,0.0,0.0
flipped_image_087,0.0,0.0,0.0
image_069,0.0,0.0,0.0
image_100,0.0,0.0,0.0
flipped_image_137,0.0,0.0,0.0
image_067,0.0,0.0,0.0
image_053,0.0,0.0,0.0
flipped_image_099,0.0,0.0,0.0
image_146,0.0,0.0,0.0
flipped_image_042,0.0,0.0,0.0
flipped_image_122,0.0,0.0,0.0
flipped_image_138,0.0,0.0,0.0
flipped_image_062,0.21354062252961814,0.06168340588924127,-0.19491001089257343
image_047,0.0,0.0,0.0
flipped_image_058,0.0,0.0,0.0
flipped_image_082,0.0,0.0,0.0
image_075,0.0,0.0,0.0
flipped_image_112,0.0,0.0,0.0
flipped_image_001,0.0,0.0,0.0
image_096,0.0,0.0,0.0
image_044,0.0,0.0,0.0
image_115,0.0,0.0,0.0
flipped_image_093,0.2284005331278099,0.1550682127559958,0.0
image_150,0.0,0.0,0.0
image_046,0.0,0.0,0.0
image_050,0.0,0.0,0.0
flipped_image_101,0.0,0.0,0.0
flipped_image_084,0.0,0.0,0.0
image_123,0.0,0.0,0.0
image_120,0.0,0.0,0.0
image_130,0.0,0.0,0.0
image_137,0.0,0.0,0.0
image_101,0.0,0.0,0.0
flipped_image_025,0.2748326799412013,0.2326005645519591,0.0
image_005,0.0,0.0,0.0
flipped_image_043,0.0,0.0,0.0
flipped_image_050,0.0,0.0,0.0
image_082,0.0,0.0,0.0
image_048,0.0,0.0,0.0
image_113,0.0,0.0,0.0
flipped_image_114,0.0,0.0,0.0
image_122,0.0,0.0,0.0
flipped_image_126,0.0,0.0,0.0
image_093,0.1333427238087787,0.08537768057886627,0.0
flipped_image_100,0.0,0.0,0.0
flipped_image_146,0.0,0.0,0.0
flipped_image_148,0.0,0.0,0.0
flipped_image_081,0.0,0.0,0.0
image_001,0.0,0.0,0.0
flipped_image_065,0.0,0.0,0.0
flipped_image_096,0.0,0.0,0.0
flipped_image_060,0.0,0.0,0.0
image_034,0.0,0.0,0.0
image_023,0.0,0.0,0.0
flipped_image_150,0.0,0.0,0.0
image_117,0.0,0.0,0.0
flipped_image_047,0.0,0.0,0.0
flipped_image_123,0.0,0.0,0.0
flipped_image_113,0.0,0.0,0.0
flipped_image_118,0.0,0.0,0.0
flipped_image_117,0.0,0.0,0.0
image_111,0.0,0.0,0.0
image_079,0.0,0.0,0.0
flipped_image_054,0.0,0.0,0.0
image_126,0.0,0.0,0.0
image_013,0.0,0.0,0.0
image_036,0.0,0.0,0.0
image_086,0.0,0.0,0.0
image_087,0.0,0.0,0.0
flipped_image_121,0.0,0.0,0.0
flipped_image_048,0.0,0.0,0.0
flipped_image_085,0.0,0.0,0.0
image_085,0.0,0.0,0.0
image_054,0.0,0.0,0.0
image_114,0.0,0.0,0.0
image_147,0.0,0.0,0.0
flipped_image_045,0.0,0.0,0.0
image_043,0.0,0.0,0.0
image_024,0.0,0.0,0.0
image_134,0.0,0.0,0.0
image_125,0.0,0.0,0.0
image_148,0.0,0.0,0.0
image_084,0.0,0.0,0.0
image_143,0.0,0.0,0.0
flipped_image_069,0.0,0.0,0.0
image_080,0.0,0.0,0.0
image_081,0.0,0.0,0.0
image_045,0.0,0.0,0.0
flipped_image_102,0.0,0.0,0.0
image_118,0.0,0.0,0.0
flipped_image_086,0.0,0.0,0.0
image_102,0.0,0.0,0.0
flipped_image_111,0.0,0.0,0.0
image_121,0.0,0.0,0.0
flipped_image_149,0.0,0.0,0.0
image_119,0.0,0.0,0.0
image_149,0.0,0.0,0.0
image_011,0.19361875028327385,0.10280748492245306,-0.12786501690883217
image_065,0.0,0.0,0.0
image_088,0.0,0.0,0.0
flipped_image_110,0.0,0.0,0.0
flipped_image_134,0.0,0.0,0.0
flipped_image_088,0.0,0.0,0.0
image_112,0.0,0.0,0.0
flipped_image_075,0.0,0.0,0.0
flipped_image_130,0.0,0.0,0.0
flipped_image_053,0.0,0.0,0.0
flipped_image_079,0.0,0.0,0.0
flipped_image_077,0.0,0.0,0.0
image_091,0.1806563237829768,0.0,-0.180124368603855
image_083,0.0,0.0,0.0
flipped_image_091,0.21330527858885123,0.0,-0.1456892331241543
